# Postal codes from GeoNames (geonames.org), licensed CC BY 4.0: one entry per code, named after its most populous place. Regenerated by tools\Update-PostalCodes.ps1 on 2026-09-12. Columns: code, place name, region, country, latitude, longitude.
G2A	Loretteville North	Quebec	Canada	46.8751	-71.392
G2B	Loretteville South	Quebec	Canada	46.8505	-71.3357
G2C	Quebec City Northwest	Quebec	Canada	46.8287	-71.334
G2E	L'Ancienne-Lorette Northeast	Quebec	Canada	46.8083	-71.3605
G2G	L'Ancienne-Lorette Southwest	Quebec	Canada	46.7903	-71.4157
G2J	Quebec City Inner North	Quebec	Canada	46.8399	-71.2781
G2K	Quebec City Outer North	Quebec	Canada	46.8545	-71.3044
G2L	Charlesbourg North	Quebec	Canada	46.8895	-71.2545
G2M	Jean-Talon Northeast	Quebec	Canada	46.922	-71.3056
G2N	Jean-Talon West	Quebec	Canada	46.9137	-71.3398
G3A	St-Augustin-De-Desmaures	Quebec	Canada	46.7406	-71.4513
G3B	Lac-Beauport	Quebec	Canada	46.9833	-71.2906
G3C	Stoneham-et-Tewkesbury	Quebec	Canada	47.1691	-71.4332
G3E	Saint-Émile	Quebec	Canada	46.8779	-71.3408
G3G	Lac-Saint-Charles	Quebec	Canada	46.9242	-71.3958
G3H	Pont-Rouge	Quebec	Canada	46.7547	-71.6957
G3J	Val-Bélair North	Quebec	Canada	46.8603	-71.4752
G3K	Val-Bélair South	Quebec	Canada	46.8315	-71.4429
G3L	Saint-Raymond	Quebec	Canada	47.2374	-71.8763
G3M	Donnacona	Quebec	Canada	46.6804	-71.7239
G3N	Sainte-Catherine-de-la-Jacques-Cartier	Quebec	Canada	46.8524	-71.6206
G3S	Shannon	Quebec	Canada	46.8803	-71.5146
G3Z	Baie-Saint-Paul	Quebec	Canada	47.4411	-70.4986
G4A	Clermont	Quebec	Canada	47.7184	-70.2276
G4R	Sept-Îles Southeast	Quebec	Canada	50.8558	-67.0511
G4S	Sept-Îles Northwest	Quebec	Canada	50.2713	-66.3751
G4T	Les Îles-De-La-Madeleine	Quebec	Canada	47.3999	-61.7996
G4V	Sainte-Anne-Des-Monts	Quebec	Canada	48.9711	-66.3082
G4W	Matane	Quebec	Canada	48.8286	-67.522
G4X	Gaspé	Quebec	Canada	48.8334	-64.4819
G4Z	Baie-Comeau Northeast	Quebec	Canada	51.0872	-68.632
G5A	La Malbaie	Quebec	Canada	47.6575	-70.1559
G5B	Port-Cartier	Quebec	Canada	50.0334	-66.8655
G5C	Baie-Comeau Southwest	Quebec	Canada	50.3474	-69.0411
G5H	Mont-Joli	Quebec	Canada	48.5839	-68.1921
G5J	Amqui	Quebec	Canada	48.4638	-67.4313
G5L	Rimouski Central	Quebec	Canada	48.416	-68.5979
G5M	Rimouski Northeast	Quebec	Canada	48.4966	-68.458
G5N	Rimouski Southwest	Quebec	Canada	48.3668	-68.4659
G5R	Rivière-du-Loup	Quebec	Canada	47.8304	-69.5342
G5T	Degelis	Quebec	Canada	47.5473	-68.6431
G5V	Montmagny	Quebec	Canada	46.9804	-70.5549
G5X	Beauceville	Quebec	Canada	46.2179	-70.7787
G5Y	Saint-Georges Central	Quebec	Canada	46.1326	-70.6375
G5Z	Saint-Georges Southeast	Quebec	Canada	46.0642	-70.7118
G6A	Saint-Georges Northwest	Quebec	Canada	46.1437	-70.6817
G6B	Lac-Megantic	Quebec	Canada	45.5834	-70.8823
G6C	Pintendre	Quebec	Canada	46.7701	-71.0906
G6E	Sainte-Marie	Quebec	Canada	46.434	-71.0117
G6G	Thetford Mines	Quebec	Canada	46.0937	-71.3054
G6H	Black Lake	Quebec	Canada	46.07	-71.4393
G6J	Saint-Etienne-De-Lauzon	Quebec	Canada	46.6358	-71.3098
G6K	Saint-Redempteur	Quebec	Canada	46.688	-71.3028
